iso,name,MRGID,GEONAME,POL_TYPE
ASM,American Samoa,8444,United States Exclusive Economic Zone (American Samoa),200NM
SHN,Ascension,8379,British Exclusive Economic Zone (Ascension),200NM
COK,Cook Islands,8446,New Zealand Exclusive Economic Zone (Cook Islands),200NM
FLK,Falkland / Malvinas Islands,8389,Overlapping claim Falkland / Malvinas Islands: United Kingdom / Argentina,Overlapping claim
PYF,French Polynesia,8440,French Exclusive Economic Zone (French Polynesia),200NM
PCN,Pitcairn,8439,British Exclusive Economic Zone (Pitcairn),200NM
SHN,Saint Helena,8380,British Exclusive Economic Zone (Saint Helena),200NM
WSM,Samoa,8445,Samoan Exclusive Economic Zone,200NM
TON,Tonga,8448,Tongan Exclusive Economic Zone,200NM
SHN,Tristan da Cunha,8382,British Exclusive Economic Zone (Tristan da Cunha),200NM
CHL,Chile,8465,Chilean Exclusive Economic Zone,200NM
NIU,Niue,8447,New Zealand Exclusive Economic Zone (Niue),200NM
NA,Joint regime area: Uruguay / Argentina,48961,Joint regime area: Uruguay / Argentina,Joint regime
NA,Joint regime area: Peru / Ecuador,48962,Joint regime area: Peru / Ecuador,Joint regime
URY,Uruguay,8467,Uruguayan Exclusive Economic Zone,200NM
TKL,Tokelau,8449,New Zealand Exclusive Economic Zone (Tokelau),200NM
PER,Peru,8432,Peruvian Exclusive Economic Zone,200NM
CHL,Islas San Félix and San Ambrosio,22756,Chilean Exclusive Economic Zone (Islas San Félix and San Ambrosio),200NM
CHL,Easter Island,21787,Chilean Exclusive Economic Zone (Easter Island),200NM
BRA,Trindade,8381,Brazilian Exclusive Economic Zone (Trindade),200NM
KIR,Phoenix Group,8450,Kiribati Exclusive Economic Zone (Phoenix Group),200NM
ARG,Argentina,8466,Argentinian Exclusive Economic Zone,200NM
ATF,Amsterdam and Saint Paul Islands,8386,French Exclusive Economic Zone (Amsterdam and Saint Paul Islands),200NM
CXR,Christmas Island,8309,Australian Exclusive Economic Zone (Christmas Island),200NM
CCK,Cocos Islands,8308,Australian Exclusive Economic Zone (Cocos Islands),200NM
COM,Comores,8334,Comoran Exclusive Economic Zone,200NM
ATF,Crozet Islands,8385,French Exclusive Economic Zone (Crozet Islands),200NM
MYT,Mayotte,48944,Overlapping claim Mayotte: France / Comores,Overlapping claim
NA,Ile Tromelin,48946,Overlapping claim Ile Tromelin: France / Madagascar / Republic of Mauritius,Overlapping claim
HMD,Heard and McDonald Islands,8388,Australian Exclusive Economic Zone (Heard and McDonald Islands),200NM
