Name,ISO 3166,Type,Administering Power,Disputed by,,Reviewed in MM -Map3,Spanish,Updated in SP?,French,Updated in FR?,Bahasa
Afghanistan,AFG,UN Member State,N/A,N/A,,Yes,,,,,
Åland Islands,ALA,Self-governing province,Finland,Sweden,,Yes,,,,,
Albania,ALB,UN Member State,N/A,N/A,,Yes,,,,,
Algeria,DZA,UN Member State,N/A,N/A,,Yes,,,,,
American Samoa,ASM,Non-Self-Governing Territory,United States of America,N/A,,Yes,,,,,
Andorra,AND,UN Member State,N/A,N/A,,Yes,,,,,
Angola,AGO,UN Member State,N/A,N/A,,Yes,,,,,
Anguilla,AIA,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Antarctica,ATA,Region,N/A,N/A,ATCM?,Yes,,,,,
Antigua and Barbuda,ATG,UN Member State,N/A,N/A,,Yes,,,,,
Argentina,ARG,UN Member State,N/A,N/A,,Yes,,,,,
Armenia,ARM,UN Member State,N/A,N/A,,Yes,,,,,
Aruba,ABW,Dependency,Netherlands,N/A,,Yes,,,,,
Australia,AUS,UN Member State,N/A,N/A,,Yes,,,,,
Austria,AUT,UN Member State,N/A,N/A,,Yes,,,,,
Azerbaijan,AZE,UN Member State,N/A,N/A,,Yes,,,,,
Bahamas,BHS,UN Member State,N/A,N/A,,Yes,,,,,
Bahrain,BHR,UN Member State,N/A,N/A,,Yes,,,,,
Bangladesh,BGD,UN Member State,N/A,N/A,,Yes,,,,,
Barbados,BRB,UN Member State,N/A,N/A,,Yes,,,,,
Belarus,BLR,UN Member State,N/A,N/A,,Yes,,,,,
Belgium,BEL,UN Member State,N/A,N/A,,Yes,,,,,
Belize,BLZ,UN Member State,N/A,N/A,,Yes,,,,,
Benin,BEN,UN Member State,N/A,N/A,,Yes,,,,,
Bermuda,BMU,Non-Self-Governing Territory,United Kingdom,N/A,,Yes,,,,,
Bhutan,BTN,UN Member State,N/A,N/A,,Yes,,,,,
Bolivia (Plurinational State of),BOL,UN Member State,N/A,N/A,,Yes-updated,Bolivia (Estado Plurinacional de),Yes-updated,Bolivie (Etat plurinational de),Yes-updated,Updated with English version
